year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,80+
2001,34,155,82,156,921,6616,4289,450,344,343,88
2002,61,138,136,171,1120,7648,5267,547,405,382,111
2003,63,147,104,189,1199,8724,5934,643,439,481,138
2004,69,152,124,193,1302,9603,6497,706,478,504,143
2005,57,180,164,263,1504,10815,7541,847,624,587,181
2006,80,170,143,265,1607,11481,8094,895,683,694,232
2007,96,197,159,331,1705,12813,8996,1082,821,873,245
2008,99,181,173,403,2011,14512,10199,1223,844,940,305
2009,128,195,168,424,2147,15862,11087,1324,931,1056,344
2010,114,185,182,487,2331,17142,12126,1622,1089,1343,444
2011,106,188,180,559,2693,18547,13017,1852,1212,1481,513
2012,132,213,214,490,2733,18567,13273,1912,1205,1447,520
2013,160,240,231,587,3088,19768,14002,2059,1421,1671,614
2014,157,240,259,577,3124,20380,14384,2314,1498,1845,611
2015,205,300,242,587,3354,21718,14847,2496,1725,2028,706
2016,224,304,262,582,3395,22180,14960,2603,1835,1988,815
2017,230,324,258,638,3684,24184,15631,2814,1984,2265,849
2018,235,370,345,732,3785,25829,16589,3043,2055,2424,918
2019,290,309,339,608,3533,24869,16233,3000,2151,2340,892